team,name,surname,position,rating,card_name,photo_filename
1,Сергей,Невелев,врт,80,,Иван_Иванов.png
1,Александр,Антимиров,защ,84,mvp,Алексей_Смирнов.png
1,Дмитрий,Мамотенко,защ,82,,Дмитрий_Кузнецов.png
1,Иван,Ланцов,фрв,90,,Сергей_Попов.png
1,Адельжан,Басантаев,фрв,81,,Андрей_Васильев.png
1,Евгений,Иванов,защ,77,champ,Николай_Зайцев.png
1,Евгений,Казарцев,защ,75,,Павел_Морозов.png
1,Камиль,Габбасов,фрв,80,,Камиль_Габбасов.png
2,Пётр,Петров,защ,78,,Пётр_Петров.png
2,Максим,Максимов,защ,88,,Максим_Максимов.png
2,Денис,Денисов,фрв,79,,Денис_Денисов.png
2,Антон,Антонов,врт,82,,Антон_Антонов.png
2,Егор,Егоров,фрв,74,,Егор_Егоров.png
2,Илья,Ильин,защ,83,,Илья_Ильин.png
2,Роман,Романов,врт,76,,Роман_Романов.png
2,Олег,Олегов,фрв,87,,Олег_Олегов.png
2,Никита,Никитин,защ,86,,Никита_Никитин.png
